feat_r3_score_numeric,feat_low_claim_specialty,feat_web_says_not_found_and_not_empty,feat_r3_high_confidence,feat_ev_pv_nf_org_n,feat_ev_pv_nf_prov_n,feat_ev_pv_nf_agg_n,feat_ev_pv_f_org_n,feat_ev_pv_f_prov_n,feat_ev_pv_f_agg_n,feat_ev_ov_nf_org_n,feat_ev_ov_nf_prov_n,feat_ev_ov_nf_agg_n,feat_ev_ov_f_org_n,feat_ev_ov_f_prov_n,feat_ev_ov_f_agg_n,feat_ev_total_found,feat_ev_total_not_found,feat_ev_total,feat_ev_found_ratio,feat_pv_found_any,feat_ov_found_any,feat_pv_notfound_any,feat_ov_notfound_any,feat_both_views_found,feat_only_pv_found,feat_only_ov_found,feat_neither_view_found,feat_source_diversity,feat_state_high_risk,feat_has_credentials,feat_npi_changed_by_r3,feat_npi_deactivated,feat_r3_suggests_name_change,feat_cred_is_md_do,feat_cred_is_midlevel,feat_has_pio_evidence,feat_pio_yes,feat_pio_no,feat_org_is_hospital,feat_org_is_missing,feat_claims_n,feat_claims_distinct_orgs,feat_claims_distinct_addrs,feat_claims_days_since,feat_claims_zip_match,feat_claims_street_zip_match,feat_claims_recent_zip_match,feat_claims_recent_street_zip,feat_claims_zip_but_no_match,feat_claims_log1p_n,feat_claims_high_volume,feat_claims_recent_active,feat_claims_no_match_high_n,feat_claims_strong_corroborate,feat_claims_strong_contradict,feat_r3acc_x_claims_contradict,feat_r3ina_x_claims_corroborate,target
15.55,0,0,0,0,2,2,0,1,0,0,0,0,0,1,0,2,4,6,0.3333333333333333,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,30,8,8,40.0,1,1,1,1,0,3.4339872044851463,1,1,0,1,0,0,1,False
80.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,7,0,7,1.0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,9999.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,True
83.1325301204819,1,0,0,1,1,2,2,0,5,1,0,0,0,0,1,8,5,13,0.6153846153846154,1,1,1,1,1,0,0,0,2,0,1,1,0,0,0,1,1,0,0,1,0,1260,1,1,39.0,1,1,1,1,0,7.13966033596492,1,1,0,1,0,0,0,False
25.0,0,0,0,0,1,3,0,0,2,0,1,1,0,0,0,2,6,8,0.25,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,92.0,0,0,0,0,0,0.6931471805599453,0,1,0,0,0,0,0,False
1.51515151515151,0,0,0,4,0,1,0,0,1,2,0,0,0,0,0,1,7,8,0.125,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,11,3,3,21.0,0,0,0,0,1,2.4849066497880004,0,1,0,0,0,0,0,False
94.7368421052631,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,3,1,4,0.75,1,0,1,0,0,1,0,0,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,9999.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,True
0.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,371,1,1,17.0,0,0,0,0,1,5.918893854273146,1,1,1,0,1,0,0,False
0.0,1,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,6,6,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9999.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False
0.0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,5,5,0.0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1685,12,12,17.0,1,0,1,0,0,7.430114138561801,1,1,0,0,0,0,0,False
0.0,0,0,0,8,0,3,0,0,0,1,0,0,0,0,0,0,12,12,0.0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,248,1,1,29.0,1,0,1,0,0,5.517452896464707,1,1,0,0,0,0,0,True
